"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"110","Malawi","","","2.7","28.7"
"111","Croatia","Weakness","Weakness","2.7","27.7"
"112","Kyrgyzstan","","","2.7","27.6"
"113","El Salvador","","","2.7","27.6"
"114","Bosnia and Herzegovina","Weakness","Weakness","2.6","27.2"
"115","Nicaragua","","","2.6","27.1"
"116","Bolivia (Plurinational State of)","","","2.6","27.0"
"117","Algeria","Weakness","","2.6","26.9"
"118","Zimbabwe","Weakness","","2.6","26.7"
"119","Mongolia","","Weakness","2.6","26.6"
"120","Bangladesh","","Weakness","2.6","26.5"
"121","Paraguay","Weakness","Weakness","2.6","26.4"
"122","Greece","Weakness","Weakness","2.5","25.6"
"123","Nigeria","Weakness","Weakness","2.4","23.7"
"124","Cote d'Ivoire","Weakness","Weakness","2.3","22.1"
"125","Yemen","Weakness","Weakness","2.2","19.5"
