"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"70","Colombia","","","49.4","22.1"
"71","Montenegro","","","48.9","21.8"
"72","Philippines","","","47.8","21.3"
"73","Bangladesh","","","47.6","21.2"
"74","Sri Lanka","","","45.7","20.2"
"75","Slovenia","Weakness","Weakness","44.8","19.8"
"76","Ireland","Weakness","Weakness","44.4","19.6"
"77","Serbia","","","43.0","18.8"
"78","Nicaragua","","","42.6","18.7"
"79","Peru","","","42.3","18.5"
"80","Lithuania","Weakness","","41.4","18.0"
"81","Trinidad and Tobago","Weakness","","40.5","17.6"
"82","Paraguay","","","40.0","17.3"
"83","Togo","Strength","","39.7","17.2"
"84","Brunei Darussalam","Weakness","","39.5","17.1"
"85","Indonesia","","","38.7","16.7"
"86","Ukraine","","","38.4","16.5"
"87","Mexico","","","35.5","15.1"
"88","Albania","","","35.0","14.8"
"89","Hungary","Weakness","Weakness","33.4","14.0"
"90","Guatemala","","","33.3","14.0"
"91","Ecuador","","","32.3","13.5"
"92","Jamaica","","","32.0","13.3"
"93","Botswana","","","31.4","13.0"
"94","Burkina Faso","","","31.3","13.0"
"95","Kazakhstan","","","29.9","12.2"
"96","Senegal","","","29.5","12.0"
"97","Kenya","","","29.3","11.9"
"98","Dominican Republic (the)","","","28.7","11.6"
"99","Egypt","","","28.5","11.5"
"100","Republic of Moldova (the)","","","27.1","10.8"
"101","Mali","","","27.1","10.8"
"102","Cote d'Ivoire","","","26.5","10.5"
"103","Romania","","Weakness","26.4","10.5"
"104","Belarus","","Weakness","26.4","10.5"
"105","Uruguay","Weakness","Weakness","26.3","10.4"
"106","Mozambique","","","25.6","10.1"
"107","Algeria","","","24.8","9.7"
"108","Benin","","","22.7","8.6"
"109","Azerbaijan","Weakness","","22.2","8.3"
"110","Kyrgyzstan","","","21.8","8.2"
"111","Rwanda","","","20.9","7.7"
"112","Pakistan","Weakness","","17.0","5.8"
"113","Argentina","Weakness","Weakness","16.1","5.3"
"114","Niger (the)","","","15.7","5.1"
"115","Burundi","","","15.5","5.0"
"116","Uganda","","Weakness","15.0","4.7"
"117","Cameroon","Weakness","","14.5","4.5"
"118","United Republic of Tanzania (the)","","","14.4","4.4"
"119","Nigeria","Weakness","","14.2","4.3"
"120","Ghana","Weakness","Weakness","13.9","4.1"
"121","Tajikistan","","","13.7","4.1"
"122","Madagascar","","Weakness","13.6","4.0"
"123","Zambia","Weakness","Weakness","11.2","2.8"
"124","Malawi","","Weakness","10.5","2.4"
"125","Guinea","","Weakness","9.6","2.0"
"126","Yemen","Weakness","Weakness","5.6","0.0"
