"rank","Economy","Income Group(Strength/Weakness)","Strength / Weakness","Value","Score"
"105","Oman","Weakness","","2.9","7.5"
"106","Trinidad and Tobago","Weakness","","2.7","6.9"
"107","Zambia","","","2.7","6.8"
"108","Mali","Weakness","","2.3","5.8"
"109","Cambodia","","","2.3","5.6"
"110","Bangladesh","","","2.2","5.4"
"111","Sri Lanka","","Weakness","2.2","5.4"
"112","Kuwait","Weakness","","2.1","5.2"
"113","Cote d'Ivoire","","","1.9","4.5"
"114","Bahrain","Weakness","Weakness","1.8","4.4"
"115","Nigeria","","","1.8","4.4"
"116","Kazakhstan","","Weakness","1.8","4.2"
"117","Peru","","Weakness","1.6","3.8"
"118","Bolivia (Plurinational State of)","","","1.6","3.7"
"119","Tajikistan","Weakness","","1.6","3.6"
"120","Honduras","","Weakness","1.5","3.5"
"121","Guinea","Weakness","","1.1","2.4"
"122","Nicaragua","","Weakness","1.1","2.2"
"123","Philippines","","Weakness","0.9","1.9"
"124","Paraguay","Weakness","Weakness","0.6","1.0"
"125","Indonesia","","Weakness","0.6","0.8"
"126","El Salvador","","Weakness","0.5","0.7"
"127","Guatemala","Weakness","Weakness","0.5","0.6"
"128","Dominican Republic (the)","Weakness","Weakness","0.3","0.0"
