country_iso,year,rd_in_gdp
CHL,2013,0.3887
CHL,2014,0.37503
CHL,2015,0.38073
CHL,2016,0.362
CHN,2012,1.91214
CHN,2013,1.99786
CHN,2014,2.02963
CHN,2015,2.0656
CHN,2016,2.11831
CHN,2017,2.14512
CIV,2016,0.0956
COD,2015,0.40638
COL,2012,0.234
COL,2013,0.27128
COL,2014,0.30563
COL,2015,0.28975
COL,2016,0.26694
COL,2017,0.24294
COL,2018,0.23699
CRI,2012,0.55606
CRI,2013,0.55567
CRI,2014,0.57209
CRI,2015,0.44993
CRI,2016,0.42926
CRI,2017,0.42336
CUB,2012,0.40716
CUB,2013,0.47467
CUB,2014,0.41596
CUB,2015,0.42854
CUB,2016,0.34223
CUB,2017,0.43066
CYP,2012,0.43778
CYP,2013,0.48218
CYP,2014,0.50835
CYP,2015,0.48059
CYP,2016,0.53442
CYP,2017,0.55322
CZE,2012,1.78231
CZE,2013,1.89973
CZE,2014,1.97285
CZE,2015,1.92923
CZE,2016,1.68015
CZE,2017,1.79079
DEU,2012,2.86813
DEU,2013,2.82105
DEU,2014,2.86691
DEU,2015,2.91197
DEU,2016,2.91712
DEU,2017,3.02233
DNK,2012,2.98125
DNK,2013,2.97048
DNK,2014,2.91404
DNK,2015,3.05497
DNK,2016,3.11868
DNK,2017,3.05583
DZA,2017,0.54243
ECU,2012,0.33236
ECU,2013,0.3799
ECU,2014,0.44266
EGY,2012,0.50899
EGY,2013,0.63895
EGY,2014,0.63649
EGY,2015,0.71858
EGY,2016,0.70848
EGY,2017,0.67941
EGY,2018,0.72388
ESP,2012,1.28788
ESP,2013,1.26859
ESP,2014,1.23535
ESP,2015,1.21832
ESP,2016,1.18526
ESP,2017,1.20482
EST,2012,2.12265
EST,2013,1.72216
EST,2014,1.42931
EST,2015,1.46604
EST,2016,1.2468
EST,2017,1.28867
ETH,2013,0.60474
ETH,2017,0.27441
FIN,2012,3.41948
FIN,2013,3.28719
FIN,2014,3.16931
FIN,2015,2.89157
FIN,2016,2.74264
FIN,2017,2.7569
FRA,2012,2.22707
FRA,2013,2.23703
FRA,2014,2.27592
FRA,2015,2.26703
FRA,2016,2.24245
FRA,2017,2.18547
GBR,2012,1.59382
GBR,2013,1.63938
GBR,2014,1.65915
GBR,2015,1.66818
GBR,2016,1.68211
GBR,2017,1.66381
GEO,2013,0.08367
GEO,2014,0.1849
GEO,2015,0.31982
GEO,2016,0.30104
GEO,2017,0.29104
GEO,2018,0.30457
GRC,2012,0.69957
GRC,2013,0.81131
GRC,2014,0.8333
GRC,2015,0.96121
GRC,2016,0.99394
GRC,2017,1.12808
GTM,2012,0.04471
GTM,2013,0.03854
GTM,2014,0.02905
GTM,2015,0.02988
GTM,2016,0.02224
GTM,2017,0.028
HKG,2012,0.72733
HKG,2013,0.73017
HKG,2014,0.74014
HKG,2015,0.76183
HKG,2016,0.79149
HKG,2017,0.79925
HKG,2018,0.86096
HND,2015,0.01497
HND,2017,0.04
HRV,2012,0.75029
HRV,2013,0.81016
HRV,2014,0.78252
HRV,2015,0.84027
HRV,2016,0.8627
HRV,2017,0.8645
HUN,2012,1.26362
HUN,2013,1.38884
HUN,2014,1.35373
HUN,2015,1.36245
HUN,2016,1.20423
HUN,2017,1.3486
IDN,2013,0.0847
IDN,2016,0.24535
IDN,2017,0.2381
IDN,2018,0.26542
IND,2015,0.61957
IND,2018,0.59738
IRL,2012,1.56119
IRL,2013,1.5658
IRL,2014,1.49955
IRL,2015,1.19201
IRL,2016,1.16892
IRL,2017,1.04038
IRN,2012,0.31655
IRN,2013,0.25267
IRN,2015,0.41763
IRN,2017,0.83027
IRQ,2014,0.03733
IRQ,2015,0.03775
IRQ,2016,0.03658
IRQ,2017,0.04455
ISL,2013,1.70204
ISL,2014,1.94811
ISL,2015,2.12004
ISL,2016,2.03413
ISL,2017,2.12724
ISR,2012,4.15735
ISR,2013,4.0748
ISR,2014,4.17584
ISR,2015,4.25563
ISR,2016,4.39314
ISR,2017,4.54474
ITA,2012,1.27087
ITA,2013,1.30768
ITA,2014,1.34301
ITA,2015,1.34115
ITA,2016,1.37124
ITA,2017,1.35206
JOR,2016,0.7078
JPN,2012,3.20908
JPN,2013,3.31496
JPN,2014,3.40022
JPN,2015,3.28165
JPN,2016,3.15522
JPN,2017,3.21254
KAZ,2012,0.16525
KAZ,2013,0.17132
KAZ,2014,0.16722
KAZ,2015,0.16951
KAZ,2016,0.14179
KAZ,2017,0.12972
KAZ,2018,0.12286
KGZ,2012,0.1661
KGZ,2013,0.14914
KGZ,2014,0.12536
KGZ,2015,0.11903
KGZ,2016,0.11121
KGZ,2017,0.10707
KHM,2015,0.11823
KOR,2012,4.02554
KOR,2013,4.14853
KOR,2014,4.28874
KOR,2015,4.21702
KOR,2016,4.22744
KOR,2017,4.55324
KWT,2012,0.09721
KWT,2013,0.30153
KWT,2014,0.42705
KWT,2015,0.0966
KWT,2016,0.07985
KWT,2017,0.08118
KWT,2018,0.06192
LKA,2013,0.10081
LKA,2014,0.09989
LKA,2015,0.10871
LSO,2015,0.04795
LTU,2012,0.89469
LTU,2013,0.95088
LTU,2014,1.03048
LTU,2015,1.04095
LTU,2016,0.84329
LTU,2017,0.88544
LUX,2012,1.27267
LUX,2013,1.30266
LUX,2014,1.26404
LUX,2015,1.28405
LUX,2016,1.29524
LUX,2017,1.25607
LVA,2012,0.66424
LVA,2013,0.6122
LVA,2014,0.6893
LVA,2015,0.62623
LVA,2016,0.44094
LVA,2017,0.51012
MAC,2012,0.04807
MAC,2013,0.05115
MAC,2014,0.08705
MAC,2015,0.13554
MAC,2016,0.23361
MAC,2017,0.1715
MAC,2018,0.20351
MDA,2012,0.34907
MDA,2013,0.29783
MDA,2014,0.31105
MDA,2015,0.30943
MDA,2016,0.2769
MDA,2017,0.25374
MDA,2018,0.25498
MDG,2014,0.0155
MDG,2016,0.01504
MDG,2017,0.01465
MEX,2012,0.48684
MEX,2013,0.49855
MEX,2014,0.53037
MEX,2015,0.52377
MEX,2016,0.48609
MLI,2015,0.31462
MLI,2017,0.29175
MLT,2012,0.82618
MLT,2013,0.77238
MLT,2014,0.71197
MLT,2015,0.74085
MLT,2016,0.56749
MLT,2017,0.5402
MMR,2017,0.03186
MNE,2013,0.37431
MNE,2014,0.3632
MNE,2015,0.374
MNE,2016,0.32454
MNG,2012,0.23913
MNG,2013,0.23246
MNG,2014,0.2234
MNG,2015,0.15468
MNG,2016,0.18337
MNG,2017,0.13475
MNG,2018,0.10293
MOZ,2015,0.33751
MUS,2012,0.17773
MUS,2017,0.36636
MUS,2018,0.33521
MYS,2012,1.09269
MYS,2014,1.26275
MYS,2015,1.2998
MYS,2016,1.43665
NAM,2014,0.33996
NCL,2012,0.32676
NCL,2013,0.43894
NCL,2014,0.51646
NCL,2015,0.44412
NCL,2016,0.43585
NCL,2017,0.35525
NCL,2018,0.36398
NIC,2012,0.10449
NIC,2013,0.10284
NIC,2014,0.08935
NIC,2015,0.10742
NLD,2012,1.91627
NLD,2013,1.92987
NLD,2014,1.97568
NLD,2015,1.98487
NLD,2016,1.99685
NLD,2017,1.98816
NOR,2012,1.61858
NOR,2013,1.65004
NOR,2014,1.71187
NOR,2015,1.93095
NOR,2016,2.03074
NOR,2017,2.10968
NZL,2013,1.15412
NZL,2015,1.23292
OMN,2012,0.20837
OMN,2013,0.16956
OMN,2014,0.21253
OMN,2015,0.24972
OMN,2016,0.25853
OMN,2017,0.2276
OMN,2018,0.21961
PAK,2013,0.29285
PAK,2015,0.24605
PAK,2017,0.23597
PAN,2012,0.07534
PAN,2013,0.06206
PAN,2014,0.14052
PAN,2015,0.12033
PAN,2016,0.14481
PAN,2017,0.14699
PER,2012,0.0553
PER,2013,0.08174
PER,2014,0.10794
PER,2015,0.11705
PER,2016,0.12007
PER,2017,0.12101
PER,2018,0.12704
PHL,2013,0.13793
PHL,2015,0.16415
PNG,2016,0.03158
POL,2012,0.88086
POL,2013,0.87053
POL,2014,0.93978
POL,2015,1.00325
POL,2016,0.9641
POL,2017,1.03445
PRI,2013,0.43859
PRI,2015,0.42883
PRT,2012,1.37777
PRT,2013,1.32641
PRT,2014,1.28973
PRT,2015,1.24263
PRT,2016,1.28081
PRT,2017,1.31682
PRY,2012,0.06515
PRY,2014,0.07921
PRY,2015,0.09687
PRY,2016,0.11688
PRY,2017,0.14883
PSE,2013,0.4922
QAT,2012,0.4786
QAT,2015,0.51883
ROU,2012,0.48383
ROU,2013,0.38787
ROU,2014,0.38225
ROU,2015,0.48793
ROU,2016,0.48033
ROU,2017,0.5039
RUS,2012,1.02675
RUS,2013,1.02524
RUS,2014,1.07203
RUS,2015,1.10076
RUS,2016,1.09728
RUS,2017,1.10656
RWA,2016,0.66627
SAU,2012,0.87684
SAU,2013,0.81516
SEN,2015,0.5772
SGP,2012,1.96457
SGP,2013,1.96581
SGP,2014,2.13724
SGP,2015,2.256
SGP,2016,2.1664
SLV,2012,0.03397
SLV,2013,0.06387
SLV,2014,0.09377
SLV,2015,0.14348
SLV,2016,0.14515
SLV,2017,0.18115
SRB,2012,0.85316
SRB,2013,0.68367
SRB,2014,0.72309
SRB,2015,0.81146
SRB,2016,0.83951
SRB,2017,0.87353
SRB,2018,0.92132
SVK,2012,0.80495
SVK,2013,0.82362
SVK,2014,0.88008
SVK,2015,1.17171
SVK,2016,0.78895
SVK,2017,0.88267
SVN,2012,2.57319
SVN,2013,2.5801
SVN,2014,2.36743
SVN,2015,2.19504
SVN,2016,2.01191
SVN,2017,1.86311
SWE,2012,3.27772
SWE,2013,3.30252
SWE,2014,3.14261
SWE,2015,3.26418
SWE,2016,3.26923
SWE,2017,3.32707
SYC,2016,0.22162
SYR,2015,0.02053
TCD,2016,0.3005
TGO,2012,0.22324
TGO,2014,0.26654
THA,2013,0.44164
THA,2014,0.47988
THA,2015,0.61609
THA,2016,0.7802
THA,2017,1.00403
TJK,2012,0.11432
TJK,2013,0.11851
TJK,2014,0.11624
TJK,2015,0.10888
TJK,2016,0.10683
TJK,2017,0.11536
TJK,2018,0.09703
TTO,2012,0.04377
TTO,2013,0.057
TTO,2014,0.08213
TTO,2015,0.08602
TTO,2016,0.0941
TTO,2017,0.09204
TUN,2012,0.68206
TUN,2013,0.67071
TUN,2014,0.65423
TUN,2015,0.62967
TUN,2016,0.60353
TUN,2018,0.59997
TUR,2012,0.83217
TUR,2013,0.81821
TUR,2014,0.86077
TUR,2015,0.8815
TUR,2016,0.94464
TUR,2017,0.96105
TZA,2013,0.51456
UGA,2014,0.17043
UKR,2012,0.75167
UKR,2013,0.76175
UKR,2014,0.65034
UKR,2015,0.61477
UKR,2016,0.48339
UKR,2017,0.44839
UKR,2018,0.47134
URY,2012,0.3276
URY,2013,0.32113
URY,2014,0.33579
URY,2015,0.36446
URY,2016,0.40845
URY,2017,0.48393
USA,2012,2.68166
USA,2013,2.70971
USA,2014,2.7192
USA,2015,2.71744
USA,2016,2.75966
USA,2017,2.78798
UZB,2012,0.2021
UZB,2013,0.19662
UZB,2014,0.16172
UZB,2015,0.17373
UZB,2016,0.18156
UZB,2017,0.15566
UZB,2018,0.12976
VEN,2012,0.2501
VEN,2013,0.31853
VEN,2014,0.33713
VNM,2013,0.37359
VNM,2015,0.44113
VNM,2017,0.52674
ZAF,2012,0.73363
ZAF,2013,0.72488
ZAF,2014,0.77115
ZAF,2015,0.79846
ZAF,2016,0.81882
